 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220101T0000,6.0602455,94.19782,3.9763298,174.80557
20220101T0100,5.5602455,94.83262,4.32,180
20220101T0200,4.630245,96.47203,3.2599385,173.6598
20220101T0300,3.6602454,97.1187,3.5455887,156.0375
20220101T0400,3.8802452,96.16575,3.671294,168.69006
20220101T0500,3.6502452,96.980194,4.3498964,155.55605
20220101T0600,3.1102452,97.79321,5.1919937,146.30994
20220101T0700,2.7302456,98.201126,5.3999996,143.1301
20220101T0800,2.5102453,98.19411,5.3517847,137.72632
20220101T0900,2.4402454,97.83999,5.495161,148.3925
20220101T1000,4.2502456,95.36762,6.638072,167.47119
20220101T1100,6.5302453,92.20724,5.8048253,150.25511
20220101T1200,8.290245,88.76688,6.439876,153.43495
20220101T1300,10.090245,83.10312,5.95906,154.98311
20220101T1400,11.3102455,79.97462,5.991594,147.26477
20220101T1500,12.100245,77.46256,5.692099,145.30484
20220101T1600,10.530245,84.3071,6.28713,156.37062
20220101T1700,7.3002453,93.68196,5.6920996,161.56505
20220101T1800,5.9902453,95.78908,6.0347,162.64597
20220101T1900,5.8002453,95.445526,5.937272,165.96376
20220101T2000,5.170245,94.87827,5.315336,151.69923
20220101T2100,4.4902453,95.85379,5.495161,148.3925
20220101T2200,3.9102454,95.96225,5.495161,148.3925
20220101T2300,3.5702453,98.1573,6.193674,144.46231
20220102T0000,3.4202452,98.012985,6.6087217,150.64224
20220102T0100,2.8802452,97.087776,6.28713,156.37062
20220102T0200,3.0202456,96.885254,6.379216,163.61046
20220102T0300,2.3602452,97.48621,6.379216,163.61046
20220102T0400,2.3102455,96.64618,7.24486,153.43495
20220102T0500,2.3802454,96.09441,8.0899935,147.72435
20220102T0600,2.4202454,95.54446,8.435069,140.19443
20220102T0700,2.5802455,95.07294,7.653705,138.81407
20220102T0800,2.9402456,91.53713,7.10031,149.53445
20220102T0900,3.5602455,88.35643,6.9527545,158.7495
20220102T1000,5.0602455,83.72151,6.924738,171.02737
20220102T1100,6.540245,81.80693,11.159999,180
20220102T1200,8.340245,74.79823,11.966954,195.70863
20220102T1300,9.950245,69.920204,10.661107,191.68936
20220102T1400,11.590245,67.956375,10.365251,200.32314
20220102T1500,12.150246,66.07579,11.609651,209.74489
20220102T1600,12.020246,64.09562,10.799999,216.8699
20220102T1700,11.270246,66.47852,11.090103,215.75389
20220102T1800,10.740245,67.770805,13.755579,227.1211
20220102T1900,10.660245,68.37353,15.124284,218.23383
20220102T2000,11.000245,68.68648,15.778516,235.22217
20220102T2100,11.720245,66.30155,15.1884165,238.57043
20220102T2200,12.5602455,64.985275,15.077082,236.68938
20220102T2300,12.240245,68.42762,16.135872,231.3402
20220103T0000,12.300245,69.680855,18.668005,230.47737
20220103T0100,12.290245,70.50054,20.26899,236.59218
20220103T0200,12.460245,70.05099,20.608229,242.98734
20220103T0300,12.460245,71.11963,19.483284,242.488
20220103T0400,12.550245,70.89352,16.78156,234.60521
20220103T0500,12.370245,71.83889,17.068707,242.35403
20220103T0600,11.910245,73.247154,14.982228,234.78241
20220103T0700,11.740245,73.569016,13.089354,238.49574
20220103T0800,11.670245,72.899605,11.457958,226.27303
20220103T0900,11.670245,72.648544,13.392774,233.74615
20220103T1000,11.680245,72.85125,15.30741,228.81409
20220103T1100,11.800245,73.9864,13.493999,223.91908
20220103T1200,11.920245,72.89697,12.88981,215.90973
20220103T1300,12.190246,72.44865,14.003028,223.95837
20220103T1400,12.370245,71.98713,14.529915,221.98721
20220103T1500,12.330245,71.929886,14.277983,236.30994
20220103T1600,12.270246,72.06669,13.493999,226.08093
20220103T1700,12.040245,72.619415,13.004922,228.36647
20220103T1800,11.860246,72.58489,11.885453,215.13419
20220103T1900,11.510245,73.57673,12.55879,207.29958
20220103T2000,11.420245,73.71239,14.007655,205.90651
20220103T2100,11.350245,75.96923,12.783802,212.34744
20220103T2200,11.420245,77.24474,13.392774,216.25385
20220103T2300,11.150246,79.731895,16.548256,224.11859
20220104T0000,11.440246,77.14209,16.92383,218.08878
